review,sentiment
"An absorbing exploration of virtual reality, although it is not yet clear how much the director himself intended. This film deliberately takes you through several layers of artificial reality, leaving only subtle clues about which layer of virtual reality you are in, positing an ontological confusion for the viewer to ponder. <br /><br />Also can be seen as a satire of video games-- the whole movie though may fall into the fallacy of imitative form here. It seems unable to escape from the video game genre which it imitates; thus the satire becomes problematic. <br /><br />A number of interesting ideas crisscross throughout though: the biological mutant is one; the interface of technology and biology, the cyborg urge to transcend reality-- and philosophical allusions such as the title's to Heidegger, along with existential questions: i.e., the game characters are partly scripted or determined and yet partly free to alter their fate, and they wonder at how strange that feels in the game. One character then notes that this existential confusion is just like real life, thereby erasing again the distinction between the virtual and the real. Likewise with the observation that it is unpleasant to stumble around in a world where you don't know what will happen next and you're not sure how to play since you have to stumble around just to find out the goal and the unknown rules. A virtual game within the game is titled ""TranscendenZ"". Also a critique of how virtual violence makes us unable to feel the effects of real violence. Even the heroes at every level of ontological existence find themselves confused about violence. They don't like it but it is thrilling and part of the ""game"", which then they fear is real. <br /><br />The game creator, the god of the system, is assassinated in the end; yet that very scenario is played out in direct parallel to a video game we've just witnessed-- and the onlookers believe that it is still just part of the virtual reality. In the end, the film does not resolve the doubt about whether or not this is ""real"" but the point is clear (to me anyway). Existenz means Da-sein: You are there. You are thrown into a set of rules and mysteries at every level. Ontologically, virtual reality recapitulates reality. And its common game motifs express, like a royal road to the unconscious, our own fascination with violence.<br /><br />Nevertheless, while Cronenberg affirms these philosophical allusions in an interview about the film, he claims that he is very much against the ""Reality ... {underground name of terrorist group} portrayed in the film both in the game and in the 'real' level."" Seems that Cronenberg himself did not put that much thought into the film, though his impressive education comes through. The interview in Cineaste gives the impression of a middle brow intellectual who's trying to be avant-garde by inclination. Cronenberg is simply on the side of free imagination -- the clichéd bourgeois modernist credo-- despite the acknowledged ambivalence there. (My impression here might be due to one limited interview.) Still, Cronenburg seems to miss the point that his film betrays the fallacy of imitative form (here imitating computer games while doing a satirical critique of them, but a critique that is unable to ""transcend"" the same form) probably because he actually thinks that it is ""imaginative"" and radical. Yet the film's imaginative world is less bearable, and more jejune, than our own all-too-real world. It remains trapped in the computer game worldview.",1
"If you liked the Grinch movie... go watch that again, because this was no where near as good a Seussian movie translation. Mike Myers' Cat is probably the most annoying character to ""grace"" the screen in recent times. His voice/accent is terrible and he laughs at his own jokes with an awful weasing sound, which is about the only laughing I heard at the theater. Not even the kids liked this one folks, and kids laugh at anything now. Save your money and go see Looney Tunes: Back in Action if you're really looking for a fun holiday family movie.",0
"I don't know what the Oscar voters saw in this movie, but they must of seen some pretty hard stuff to see in it to be able to award it with the best picture Oscar. All I know is that fortunately there was Gene Kelly to play in it or this would have been twice as bad as I believe it is. First of all, I don't think Leslie Caron was really fit to play such a role. She isn't that talented, she isn't a great dancer and she's not good looking at all. It's a shame that one actor or actress may ruin a movie just like by playing in it because if Leslie Caron hadn't been in this, it might have made a terrific movie. The story was intelligent, the directing wasn't bad, and, as I said, Gene Kelly was pretty good. Now I'm not saying all this stuff about Leslie Caron just to criticize her, I'm just saying it because I think that's what the worse part of the movie is. She's probably a good actress but I can't tell because I haven't seen her in anything else but I think she was pretty bad in ""An American in Paris"". So if you want to see it, go ahead but I'm telling you, you're way better off watching ""Singin' in the rain"".",0
"Dennis Hopper is without a doubt one of the finest underrated American actors of our time, and it was interesting to see how he would play out his role as a cop on the case of a child serial killer. Most movies Hopper has always played to psychotic menace threatening to blow up stuff or go on a killing spree, but in this movie, Hopper tried his best to keep that intensity and emotion while carrying a shield. Once I got into the plot of the movie, I was hooked, but it's just the little things that ultimately murdered the film.<br /><br />The concept of the film is great - not only are the cops on the move of catching the killer, but we get a chance to see how the gangsters operate in catching the killer. The subplot of the football stadium is kinda ridiculous, but necessary to involve the gangsters in the killer hunt.<br /><br />That's about all that is good you can say about the film. Although Hopper did try to act like a tough, experienced street smart cop, I can't help but feel his acting was below par, and there wasn't enough conviction that he was truly attached to the case. The directing was also terrible - it didn't have the feel of a true film, but rather a TV-movie production. This is most evident when the gangsters meet for the first time to form an elite team to hunt the killer down. When the leading gangster shoots the other mouthy gangster in slow motion, the acting was weak, predictable and terribly unexciting. That's when I knew that 1st of all, the action is going to be atrocious.<br /><br />The angling of the camera was amateurish, and the recalling scenes or haunting images of the killer's little sister had no true distinctive effect. If it was supposed to be scary, it wasn't. Everyone's acting was terrible, and even for Hopper, I didn't feel for his character, and I just didn't really care too much about his relationship with his daughter.<br /><br />The final thing that bothered me the most is the swat team. Once I saw the swat team in action, I was thinking, finally, something good. But I was wrong. 1st of all, the entire swat team consisted of 4 guys. That is just impossible. 2nd of all, apparently the swat team has no training whatsoever because many times in the film they carry their HKA4 submachine guns with one hand. Had the killer been hiding near the staircase with a shotgun, these 4 idiots would've been blown to bits because they weren't even aiming at anything or paying close attention. They should have had both hands on the gun aiming forward, but it just looks like they're not taking the job seriously and are just flaunting around. 3rd, SWAT team members do not yell out commands such as ""Keep your eyes open, watch out for yourselves, are we good to go...etc."" In reality, they use hand signals or have radios. But they're literally yelling at each other - how are you supposed to catch the killer when he can hear you're coming??? And to top it all off, these guys have no plan - apparently they're just running up and down going on a wild turkey chase. Eventually they end up doing nothing. That was the last straw. I'm no expert on special forces, but basically what I've just outlined, is pretty common sense. When the audience knows the movie is terrible, the action pretty much becomes the life-saver of the movie - when you can't even make an effort to make the action great, the movie is lost.<br /><br />I give 2 stars for the concept, but the rest cannot be credited. If you want to watch a crime thriller, don't bother with this one. There's plenty of crime in the movie - but it has the lack of thrill.",0
The concept is excellent. The execution typifies the overall quality of the ABC network.<br /><br />Apart from Peter Jones it appears that the rest of the panel consist of marketing execs. rather than real entrepreneurs.<br /><br />When I realised that Peter Jones was getting together with Simon Cowell my initial thoughts were wow he's gonna take America by the balls. But it appears that ABC have come along and destroyed the concept.<br /><br />I was an absolute addict of the Dragons Den in the U.K. and was interested to see that Peter Jones had manipulated the concept that originated in Japan and developed his own show for the States. The result is neither inspiring nor informative.<br /><br />If you lack drama in your life you have a choice now Jerry Springer or the American Inventor To sum it up: a struggling musician selling out to a media mogul.<br /><br />Idea: get me! And I'll produce a show worthy of the title,0
"Take young, pretty people, put them in an exotic locale, stick in a few bad guys, have the two lead characters find romance after a couple of heavy breathing scenes, create the flimsiest of plots, then work out a happy ending for everybody (other than the three or four who get murdered, of course) That's the classic (and successful) format of the Harlequin Romance. It's not very good but then it's not very bad either, like most of the little yellow pocket books. And the location stuff in Budapest is especially interesting, even if they didn't use the wonderful old train station (designed by Gustave Eifel) or show the city's famous thermal baths.",0
"Like most, I thought 'another crocodile movie'. So far we've had Primeval and Rogue in the last 12 months, what can they do that's new? Where both those films were about action and violence, this one's about fear and tension.<br /><br />The performances aren't Oscar-worthy when there's nothing going on, but in times of distress or terror, these people suffer so much it's like torture. There are holes in the plot and maybe crocs don't really behave like this as others have pointed out, but the fear is so effective it's a stretch to say you'll enjoy this movie. It'll leave you feeling as uncomfortable as The Passion of the Christ.",1
"There's a lot of movies that have set release dates, only to get pulled from distribution due to a legal snafu of some kind, and then put in limbo for a long time. You can only wish a film as rotten as ""Slackers"" remained in a coma for what it's worth, which is miniscule. Release dates were continually shifted around for this truly awful movie that is so much a bleep on the radar like it deserves. The premise kicks off under the guise of Ethan, a creepy nerd with a scary obsession for the campus bombshell Angela. Ethan devilishly enlists the aid of David and his friends who have been scamming the school for their entire run with blackmail to help win Angela. I don't like to give spoilers out, but for a piece of crap like this I can make an exception. Angela falls for David, Ethan intentionally screws everything up, the good guys win. That's what happens in a nutshell for another tired retread of the teen gross out genre. Gross humor is funny, it always has been dating back to the days of the immortal classic ""Animal House"", to the likes of contemporaries like ""There's Something About Mary"" and ""Road Trip"" amongst dozens of others of which there are too many to mention. But when you use it as a plot point you can only get so far, case in point, Ethan has an Angela doll composed of her individual strands of hair of which he does god knows what with it. No one wants to take witness to watch Ethan urinating in the shower while singing to himself. No one wants to watch a young man singing ""She'll be coming around the mountain"" with a sock on his penis. But nothing can prepare you for the full visual assault of seeing 50's bombshell Mamie Van Doren bare her breasts at 71 years old. I don't know if it's the story's lack of coherence, which cuts to scenes that make absolutely no sense. Director Dewey Nicks was a former fashion photographer, and after reviewing this film, you can only wish he'll go back to the profession. The worst thing you can do on any film, is to make it look like you're having fun, because you detract from your objectives, just like ""Slackers"" does, by burying it's plot outline under a pile of gross out gags, pointless vignettes, and lack of construction. It's like a bunch of college students got drunk, took one's camcorder, and shot a bunch of random crap and compiled it together. If you want to see a teen gross out comedy that's actually good, then I suggest ""American Pie"" and ""Animal House"", or ""Road Trip"", just something that's entertaining, and not dreadfully bad like ""Slackers"". Coincidentally Cameron Diaz makes a cameo in this film, just as she did in another bad film such as ""The Sweetest Thing"" where the story treats gross humor like another plot, instead of a device much like this disaster.. If you pass by ""Slackers"" at your local video store, just keep on walking, and let it end up at the bottom of the shelf like it deserves.",0
"This move actually had me jumping out of my chair in anticipation of what the actors were going to do! The acting was the best, Farrah should have gotten a Oscar for this she was fabulous. James Russo was so good I hated him he was the villain and played it wonderful. There aren't many movies that have riveted me as this one. The cast was great Alfie looking shocked with those big eyes Farrah looking like a victim and you re-lived her horror as she went through it. Farrah made you feel like you were there and feeling the same anger she felt you wanted her to hurt him, yet you also knew it was the wrong thing to do. The movie had you on a roller coaster ride and you went up and down with each scene.",1
"This is another Bollywood remake of a Hollywood movie. Hitch...If I'm correct.<br /><br />The film has some great moments which will have you laughing out loud which frankly only come from Govinda who has become a legend within Indian Cinema and will always bring his A game in terms of comedies. Another bonus is Rajpal Yadav; who is hilarious as the gangster who mimics 'Don', an Indian icon of cinema. Lara Dutta is a plus...I know I sound shallow but its mainly because I have a soft spot for her, she tries to be funny but its seems to be forced. Her acting is weak...but she still shines. Salman Khan is atrocious, he tries to bring the cool, charming depths but fails miserably, he over acts and keeps shouting for no apparent reason. <br /><br />'Thats not acting mate, thats called being mentally challenged'<br /><br />Katrina Kaif is just bad...not very good at anything. No charisma, no talent..and I don't see why people consider her pretty... The plot was far fetched and I had a hard time believing that Katrina's character was remotely attracted to Govinda. The only good thing is the music...'You're my love' was the best in the soundtrack.",0
"Yes, the plot is predictable; yes, there are a few plot holes; yes, it has a made-for-TV quality; and yes, Britney Spears ""wrote"" the book with obvious self-promotion.<br /><br />But forget all of that... this movie is fun.<br /><br />Fun in an After School Special sort-of-way, but fun nevertheless.<br /><br />Virginia Madsen as the mother does a great job... so good that I'm going to start watching for her movies. She reminded me of Diane Lane for all the good reasons.<br /><br />The rest of the cast does a fine job, too. If I was a casting agent, I'd be scouting some of these young actors.<br /><br />The production values are above usual TV standards and the music was really great... better than several big-budget movies I've seen.<br /><br />If you're in the mood for German noir this movie isn't for you. If you want a safe, fun and underrated movie, this is a good one. It's one you could show to your 10 year old daughter but enjoy it yourself too.",1
"I had seen this movie when it got released, and when I was 12 years old :) And I still vividly recollect the wonderful scenes of how the hero/heroine escape every time when faced with danger :) And the best feature of the movie was the portrayal of the villain! I think many so-called action movies copied a lot many ""escape scenes"" from this movie!! And not only does it never impress me when I see such copying, it always increases my appreciation for this masterpiece! :) The lead actors have acted wonderfully. The slow and realistic development of the chemistry b/w the hero and heroine was extremely natural and wonderfully portrayed. As children, we felt that the love that developed b/w them was very natural :) The way they face and overcome all their trials and tribulations together was something that can make even kids realize the value of true love, sacrifice and caring. I recommend that every person see this movie when given a chance!! --Vijay.",1
